,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
304,29,2,4,,8,Espa?ol,male,Master or equivalent
305,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
306,54,2,4,,6,espa?ol,male,Short-cycle tertiary education
307,35,2,7,Asiatico y hispanico,6,Ingles,male,Short-cycle tertiary education
308,22,2,4,,7,Espa?ol,male,Bachelor or equivalent
309,48,1,6,,8,espa?ol,female,Master or equivalent
310,32,2,4,,8,Espa?ol,male,Master or equivalent
311,28,2,4,,8,Espa?ol,male,Master or equivalent
312,28,2,4,,6,Espa?ol,male,Short-cycle tertiary education
313,23,1,4,,8,espa?ol,female,Master or equivalent
314,24,1,4,,7,Espa?ol,female,Bachelor or equivalent
315,33,2,6,,8,espa?ol,male,Master or equivalent
316,23,1,4,,7,Espa?ol,female,Bachelor or equivalent
318,27,1,7,latina,8,Espa?ol,female,Master or equivalent
319,51,2,6,,8,Spanish,male,Master or equivalent
320,34,2,4,,7,espa?ol,male,Bachelor or equivalent
321,37,2,4,,8,espa?ol,male,Master or equivalent
322,34,2,6,,8,Espa?ol,male,Master or equivalent
323,40,2,6,,8,Espa?ol,male,Master or equivalent
324,28,2,6,,5,espa?ol,male,Post-secondary non-tertiary education
325,25,2,4,,8,espa?ol,male,Master or equivalent
326,21,2,4,,4,Espa?ol,male,Upper secondary education
327,47,1,6,,8,Espa?ol ,female,Master or equivalent
328,20,1,4,,7,Espa?ol,female,Bachelor or equivalent
329,28,1,5,,7,esepa?ol,female,Bachelor or equivalent
330,28,2,4,,8,Espa?ol / Spanish,male,Master or equivalent
331,19,1,4,,4,espa?ol,female,Upper secondary education
332,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
333,20,2,6,,4,Espa?ol,male,Upper secondary education
334,28,2,4,,8,Espa?ol,male,Master or equivalent
336,30,2,4,,7,espa?ol,male,Bachelor or equivalent
337,24,2,4,,7,Castellano,male,Bachelor or equivalent
339,22,1,4,,7,espa?ol,female,Bachelor or equivalent
340,22,2,4,,7,espa?ol,male,Bachelor or equivalent
341,27,2,4,,8,Espa?ol,male,Master or equivalent
342,24,2,6,,7,espa?ol,male,Bachelor or equivalent
343,22,2,4,,7,espa?ol,male,Bachelor or equivalent
344,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
346,21,1,6,,7,Espa?ol,female,Bachelor or equivalent
347,24,2,6,,7,espa?ol,male,Bachelor or equivalent
349,23,2,4,,4,Espa?ol,male,Upper secondary education
350,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
351,40,2,4,,6,Espa?ol,male,Short-cycle tertiary education
352,20,2,4,,7,Espa?ol,male,Bachelor or equivalent
353,24,2,6,,7,espa?ol,male,Bachelor or equivalent
354,24,2,6,,7,espa?ol,male,Bachelor or equivalent
