,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
159,32,2,1,,5,português,male,Bachelor or equivalent
160,21,2,1,,5,Português ,male,Bachelor or equivalent
161,22,2,1,,5,Português,male,Bachelor or equivalent
162,29,1,1,,6,Português,female,Master or equivalent
163,38,2,1,,5,Português,male,Bachelor or equivalent
164,20,2,1,,5,Português,male,Bachelor or equivalent
165,31,1,1,,3,Portuguesa,female,Lower secondary education
166,24,2,1,,6,Portuguesa,male,Master or equivalent
167,24,2,1,,3,Portuguesa,male,Lower secondary education
168,33,1,1,,5,português,female,Bachelor or equivalent
169,47,1,2,Australian,5,English,female,Bachelor or equivalent
170,21,2,1,,3,Portuguese,male,Lower secondary education
171,23,1,1,,5,Português,female,Bachelor or equivalent
173,22,2,1,,5,Portuguese,male,Bachelor or equivalent
174,28,2,1,,3,Português,male,Lower secondary education
175,22,2,1,,5,Português,male,Bachelor or equivalent
176,23,1,1,,5,Português,female,Bachelor or equivalent
177,22,1,1,,4,portuguesa,female,Lower secondary education
178,21,2,1,,4,Portuguesa,male,Lower secondary education
179,24,2,1,,5,English,male,Bachelor or equivalent
180,29,2,1,,6,Português,male,Master or equivalent
181,31,2,1,,5,portugues,male,Bachelor or equivalent
182,19,2,1,,5,Português,male,Bachelor or equivalent
183,24,2,1,,6,Portuguese,male,Master or equivalent
184,21,2,1,,5,Portugues,male,Bachelor or equivalent
185,20,2,1,,5,Portugues,male,Bachelor or equivalent
186,27,1,1,,7,Português,female,Doctoral or equivalent
187,21,1,1,,5,Portuguese,female,Bachelor or equivalent
188,24,2,1,,6,Portuguese,male,Master or equivalent
189,20,2,1,,5,portuguese,male,Bachelor or equivalent
190,22,2,1,,6,Portuguese,male,Master or equivalent
191,28,2,1,,3,Portugues,male,Lower secondary education
192,30,1,1,,6,Português,female,Master or equivalent
193,33,2,1,,5,Português,male,Bachelor or equivalent
194,20,2,1,,3,Português,male,Lower secondary education
