,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
442,6.0,25.0,19.0,81.0,3.0,2.0,100.0,100.0,9.0,442
444,4.0,50.0,58.0,100.0,6.0,5.0,100.0,83.0,14.0,444
445,5.0,8.0,94.0,100.0,2.0,4.0,85.0,97.0,10.0,445
446,20.0,23.0,49.0,76.0,14.0,24.0,62.0,84.0,40.0,446
448,28.0,40.0,37.0,90.0,7.0,13.0,96.0,82.0,30.0,448
449,3.0,10.0,100.0,100.0,10.0,5.0,98.0,98.0,9.0,449
451,17.0,23.0,68.0,68.0,9.0,8.0,95.0,95.0,6.0,451
452,18.0,4.0,75.0,94.0,4.0,8.0,80.0,92.0,18.0,452
453,10.0,26.0,70.0,96.0,3.0,25.0,86.0,100.0,42.0,453
454,25.0,35.0,61.0,90.0,3.0,7.0,98.0,98.0,9.0,454
458,12.0,12.0,20.0,90.0,5.0,21.0,70.0,99.0,10.0,458
459,5.0,13.0,94.0,91.0,10.0,14.0,86.0,94.0,29.0,459
461,13.0,84.0,90.0,79.0,9.0,18.0,76.0,93.0,43.0,461
464,5.0,5.0,98.0,97.0,5.0,5.0,98.0,98.0,11.0,464
465,5.0,21.0,71.0,100.0,3.0,4.0,100.0,100.0,42.0,465
467,14.0,35.0,100.0,77.0,18.0,19.0,100.0,80.0,34.0,467
468,5.0,22.0,69.0,100.0,2.0,2.0,100.0,100.0,2.0,468
469,17.0,18.0,91.0,90.0,2.0,1.0,97.0,100.0,7.0,469
470,5.0,15.0,37.0,72.0,2.0,4.0,89.0,100.0,10.0,470
471,5.0,14.0,42.0,87.0,3.0,5.0,75.0,99.0,8.0,471
473,4.0,19.0,88.0,100.0,4.0,10.0,79.0,92.0,24.0,473
474,4.0,12.0,45.0,77.0,3.0,5.0,93.0,99.0,10.0,474
475,28.0,10.0,31.0,90.0,6.0,13.0,80.0,100.0,19.0,475
478,3.0,8.0,88.0,97.0,6.0,8.0,80.0,92.0,15.0,478
479,20.0,62.0,75.0,90.0,11.0,23.0,75.0,84.0,8.0,479
480,5.0,20.0,74.0,92.0,5.0,7.0,87.0,97.0,11.0,480
481,21.0,22.0,18.0,69.0,6.0,12.0,74.0,100.0,19.0,481
482,5.0,11.0,53.0,84.0,5.0,13.0,71.0,92.0,22.0,482
485,7.0,15.0,76.0,94.0,4.0,7.0,73.0,94.0,20.0,485
486,13.0,55.0,80.0,94.0,14.0,25.0,76.0,86.0,14.0,486
487,9.0,36.0,28.0,71.0,5.0,12.0,75.0,94.0,25.0,487
488,8.0,10.0,76.0,87.0,4.0,12.0,79.0,92.0,25.0,488
489,8.0,15.0,30.0,100.0,6.0,8.0,90.0,89.0,11.0,489
491,17.0,33.0,19.0,67.0,8.0,11.0,74.0,100.0,21.0,491
